CSOPESY Emulator Execution Report
Generated on: (06/26/2026 05:30:30AM)
---------------------------------------------------------------------------
CPU Utilization: 100.00%
Core Used: 4 | Cores Available: 0
---------------------------------------------------------------------------
Process Name   Arrival Time             Status      Instructions   Core
---------------------------------------------------------------------------
p149           (06/26/2026 05:30:19AM)  Running     56/124         0
p150           (06/26/2026 05:30:19AM)  Running     53/129         3
p151           (06/26/2026 05:30:19AM)  Running     44/149         1
p152           (06/26/2026 05:30:19AM)  Running     24/160         2
p01            (06/26/2026 05:30:19AM)  Finished    106/106        0
p02            (06/26/2026 05:30:19AM)  Finished    127/127        1
p03            (06/26/2026 05:30:19AM)  Finished    147/147        3
p04            (06/26/2026 05:30:19AM)  Finished    157/157        2
p05            (06/26/2026 05:30:19AM)  Finished    155/155        0
p06            (06/26/2026 05:30:19AM)  Finished    112/112        1
p07            (06/26/2026 05:30:19AM)  Finished    125/125        3
p08            (06/26/2026 05:30:19AM)  Finished    141/141        1
p09            (06/26/2026 05:30:19AM)  Finished    123/123        0
p10            (06/26/2026 05:30:19AM)  Finished    140/140        3
p11            (06/26/2026 05:30:19AM)  Finished    139/139        2
p12            (06/26/2026 05:30:19AM)  Finished    127/127        0
p13            (06/26/2026 05:30:19AM)  Finished    155/155        1
p14            (06/26/2026 05:30:19AM)  Finished    128/128        3
p15            (06/26/2026 05:30:19AM)  Finished    124/124        2
p16            (06/26/2026 05:30:19AM)  Finished    140/140        3
p17            (06/26/2026 05:30:19AM)  Finished    155/155        0
p18            (06/26/2026 05:30:19AM)  Finished    113/113        1
p19            (06/26/2026 05:30:19AM)  Finished    128/128        2
p20            (06/26/2026 05:30:19AM)  Finished    95/95          3
p21            (06/26/2026 05:30:19AM)  Finished    158/158        1
p22            (06/26/2026 05:30:19AM)  Finished    130/130        0
p23            (06/26/2026 05:30:19AM)  Finished    134/134        2
p24            (06/26/2026 05:30:19AM)  Finished    146/146        3
p25            (06/26/2026 05:30:19AM)  Finished    120/120        0
p26            (06/26/2026 05:30:19AM)  Finished    116/116        2
p27            (06/26/2026 05:30:19AM)  Finished    136/136        1
p28            (06/26/2026 05:30:19AM)  Finished    175/175        3
p29            (06/26/2026 05:30:19AM)  Finished    111/111        0
p30            (06/26/2026 05:30:19AM)  Finished    123/123        2
p31            (06/26/2026 05:30:19AM)  Finished    157/157        1
p32            (06/26/2026 05:30:19AM)  Finished    116/116        3
p33            (06/26/2026 05:30:19AM)  Finished    124/124        0
p34            (06/26/2026 05:30:19AM)  Finished    149/149        2
p35            (06/26/2026 05:30:19AM)  Finished    130/130        0
p36            (06/26/2026 05:30:19AM)  Finished    123/123        3
p37            (06/26/2026 05:30:19AM)  Finished    128/128        2
p38            (06/26/2026 05:30:19AM)  Finished    130/130        1
p39            (06/26/2026 05:30:19AM)  Finished    141/141        0
p40            (06/26/2026 05:30:19AM)  Finished    114/114        3
p41            (06/26/2026 05:30:19AM)  Finished    115/115        2
p42            (06/26/2026 05:30:19AM)  Finished    125/125        1
p43            (06/26/2026 05:30:19AM)  Finished    121/121        3
p44            (06/26/2026 05:30:19AM)  Finished    137/137        0
p45            (06/26/2026 05:30:19AM)  Finished    138/138        2
p46            (06/26/2026 05:30:19AM)  Finished    152/152        1
p47            (06/26/2026 05:30:19AM)  Finished    161/161        3
p48            (06/26/2026 05:30:19AM)  Finished    126/126        0
p49            (06/26/2026 05:30:19AM)  Finished    109/109        2
p50            (06/26/2026 05:30:19AM)  Finished    109/109        1
p51            (06/26/2026 05:30:19AM)  Finished    121/121        3
p52            (06/26/2026 05:30:19AM)  Finished    114/114        0
p53            (06/26/2026 05:30:19AM)  Finished    109/109        2
p54            (06/26/2026 05:30:19AM)  Finished    134/134        1
p55            (06/26/2026 05:30:19AM)  Finished    137/137        3
p56            (06/26/2026 05:30:19AM)  Finished    121/121        2
p57            (06/26/2026 05:30:19AM)  Finished    129/129        0
